HYUNDAI,red,2022,220313,26968.7
HONDA,red,2009,156606,26839.4
NISSAN,brown,1994,248473,10152.7
FORD,blue,1987,111234,20376.6
HONDA,tan,2021,12189,47281.1
HONDA,tan,1985,179099,12590.1
HONDA,gray,2023,170153,32484.7
HYUNDAI,white,1980,242854,3714.6
CHEVY,red,1988,183955,13604.5
HYUNDAI,white,2000,202834,17716.6
FORD,black,2002,170737,21926.3
HYUNDAI,silver,1995,39888,31511.2
NISSAN,brown,1977,122333,14266.7
HONDA,red,2011,235345,19965.5
HONDA,tan,1979,58884,21611.6
CHEVY,blue,2011,38683,39631.7
NISSAN,brown,1983,234514,6048.6
TOYOTA,black,1984,67716,23228.4
FORD,blue,1997,224087,14091.3
CHEVY,silver,1976,39797,22020.3
HONDA,tan,2016,114708,34529.2
HYUNDAI,black,2004,124695,27530.5
FORD,red,1992,98526,24147.4
HONDA,tan,1978,208825,6117.5
FORD,tan,2011,166650,26835.0
CHEVY,gray,2019,161575,31342.5
CHEVY,gray,1983,234543,6045.7
HYUNDAI,blue,1992,168180,17182.0
TOYOTA,gray,1982,109366,18063.4
TOYOTA,gray,1975,47569,20743.1
NISSAN,blue,2015,218076,23692.4
CHEVY,black,1996,37699,32230.1
HONDA,gray,2003,218271,17672.9
HONDA,silver,2020,131856,34814.4
HONDA,white,1991,135436,19956.4
NISSAN,gray,1986,89362,22063.8
TOYOTA,brown,2004,209095,19090.5
NISSAN,brown,2019,201842,27315.8
TOYOTA,brown,1976,88275,17172.5
FORD,black,1982,129357,16064.3
TOYOTA,brown,1982,239349,5065.1
TOYOTA,tan,2016,91746,36825.4
HONDA,silver,2002,232308,15769.2
NISSAN,red,2021,68370,41663.0
NISSAN,white,2020,225708,25429.2
CHEVY,white,2010,132206,29779.4
NISSAN,brown,2003,22709,37229.1
CHEVY,red,2016,133260,32674.0
CHEVY,gray,1980,128432,15156.8
FORD,gray,1984,161266,13873.4
CHEVY,brown,2008,40138,37986.2
NISSAN,blue,2007,135417,27958.3
HONDA,white,2019,93991,38100.9
CHEVY,red,1993,38698,30630.2
TOYOTA,white,1999,83800,29120.0
HONDA,tan,1994,81972,26802.8
NISSAN,silver,1975,28676,22632.4
FORD,black,1991,6675,32832.5
NISSAN,gray,2021,180019,30498.1
TOYOTA,white,1999,195786,17921.4
HYUNDAI,white,2003,219869,17513.1
FORD,brown,1983,145962,14903.8
CHEVY,white,2014,172911,27708.9
TOYOTA,tan,2023,110584,38441.6
HYUNDAI,tan,2024,57925,44207.5
HYUNDAI,silver,1991,229770,10523.0
HYUNDAI,tan,2023,147217,34778.3
CHEVY,gray,1978,228842,4115.8
HONDA,blue,1978,44210,22579.0
TOYOTA,silver,2017,15329,44967.1
CHEVY,tan,1993,161821,18317.9
CHEVY,brown,2010,185229,24477.1
CHEVY,white,2016,15608,44439.2
NISSAN,brown,2011,185371,24962.9
NISSAN,white,1988,138681,18131.9
HONDA,gray,2020,14204,46579.6
HYUNDAI,black,1996,110970,24903.0
HONDA,red,2020,69524,41047.6
FORD,gray,1988,3608,31639.2
CHEVY,white,1998,115206,25479.4
HONDA,silver,2023,140031,35496.9
HYUNDAI,black,1994,83289,26671.1
HYUNDAI,white,1977,186527,7847.3
FORD,brown,1984,147989,15201.1
CHEVY,silver,1995,166394,18860.6
TOYOTA,red,1998,190998,17900.2
HONDA,gray,2011,237714,19728.6
HONDA,gray,1978,221367,4863.3
HYUNDAI,silver,2024,125199,37480.1
FORD,tan,1984,235784,6421.6
HYUNDAI,gray,1982,51911,23808.9
NISSAN,brown,1993,151625,19337.5
TOYOTA,blue,1994,28900,32110.0
HONDA,red,2007,119372,29562.8
FORD,black,2012,208081,23191.9
HYUNDAI,red,1978,91894,17810.6
TOYOTA,white,2024,106268,39373.2
TOYOTA,black,2022,187613,30238.7
CHEVY,black,1999,202869,17213.1
NISSAN,silver,1979,55323,21967.7
